Gene	Cellular Processes	Environmental Information Processing	Genetic Information Processing	Human Diseases	Metabolism	Organismal Systems	Unknown
RP3-400B	0	0	0	0	0	0	1
RP3-400N	0	0	0	0	0	0	1
ASPSCR1	0	0	0	1	0	0	0
RP11-72I	0	0	0	0	0	0	1
MAST2	0	0	0	0	0	0	1
CD8A	0	1	0	1	0	1	0
EFCAB14	0	0	0	0	0	0	1
SFRP5	0	1	0	0	0	0	0
SZRD1	0	0	0	0	0	0	1
TDG	0	0	1	0	0	0	0
FARSA	0	0	1	0	0	0	0
GPAA1	0	0	0	0	1	0	0
PPID	1	0	0	0	0	0	0
IDO2	0	0	0	1	1	0	0
CTD-2192	0	0	0	0	0	0	1
IDO1	0	0	0	1	1	0	0
DIP2B	0	0	0	0	0	0	1
GPRIN1	0	0	0	0	0	0	1
BAHD1	0	0	0	0	0	0	1
AD000092.3	0	0	0	0	0	0	1
RP11-111	0	0	0	0	0	0	1
OXR1	0	0	0	0	0	0	1
PRELID1	0	0	0	0	0	0	1
ATP11B	0	0	0	0	0	0	1
RBMS2	0	0	0	0	0	0	1
NLRC4	0	0	0	1	0	1	0
NLRC5	0	0	0	0	0	0	1
TMEM159	0	0	0	0	0	0	1
ALDH1A2	0	0	0	0	1	0	0
THUMPD1	0	0	0	0	0	0	1
CBS	0	0	0	0	1	0	0
AC104135.3	0	0	0	0	0	0	1
FAM83E	0	0	0	0	0	0	1
SPAG7	0	0	0	0	0	0	1
PSORS1C3	0	0	0	0	0	0	1
ANPEP	0	0	0	0	1	1	0
CPT1B	0	1	0	1	1	1	0
SMARCB1	0	0	0	1	0	1	0
ANXA4	0	0	0	0	0	0	1
CYP4V2	0	0	0	0	0	0	1
SUCLG2	0	0	0	0	1	0	0
MTPN	0	0	0	0	0	0	1
RP11-283	0	0	0	0	0	0	1
FAM53B	0	0	0	0	0	0	1
AC093391.2	0	0	0	0	0	0	1
NOC3L	0	0	0	0	0	0	1
FBXO39	0	0	0	0	0	0	1
ABCC4	0	1	0	1	0	1	0
ATF6B	0	1	1	1	0	1	0
WDR83OS	0	0	0	0	0	0	1
ABCC1	0	1	0	1	0	1	0
ALPL	0	0	0	0	1	0	0
AOC1	0	0	0	0	1	0	0
DARS	0	0	1	0	0	0	0
DOLPP1	0	0	0	0	1	0	0
RP11-30P	0	0	0	0	0	0	1
SCO2	0	0	0	1	0	0	0
S100A11	0	0	0	0	0	0	1
RASIP1	0	0	0	0	0	0	1
SUPT3H	0	0	0	1	0	0	0
MSR1	1	0	0	0	0	0	0
DGCR9	0	0	0	0	0	0	1
RYR1	0	1	0	0	0	1	0
CPT2	0	0	0	0	1	1	0
RPL17P11	0	0	0	0	0	0	1
NAV1	0	0	0	0	0	0	1
CAPN5	0	0	0	0	0	0	1
SYCE2	0	0	0	0	0	0	1
GOT2	0	0	0	0	1	1	0
RPE	0	0	0	0	1	0	0
KRT8P28	0	0	0	0	0	0	1
TDRD9	0	0	0	0	0	0	1
MKNK1	0	1	0	0	0	1	0
ENTPD1	0	0	0	1	1	0	0
VWA7	0	0	0	0	0	0	1
PRRC2A	0	0	0	0	0	0	1
HK1	0	1	0	1	1	1	0
TSPAN1	0	0	0	0	0	0	1
C12orf43	0	0	0	0	0	0	1
SLC2A9	0	0	0	0	0	0	1
MAF1	0	0	0	0	0	0	1
ARPC1A	1	0	0	1	0	1	0
ACSL6	1	0	0	0	1	1	0
ZKSCAN5	0	0	0	0	0	0	1
ARPC1B	1	0	0	1	0	1	0
RP11-266	0	0	0	0	0	0	1
TRIM38	0	0	0	0	0	0	1
SLC7A9	0	0	0	0	0	1	0
SLC7A6	0	0	0	0	0	0	1
MACF1	0	0	0	0	0	0	1
SPRYD4	0	0	0	0	0	0	1
COX6B1P4	0	0	0	0	0	0	1
MCCC1-AS1	0	0	0	0	0	0	1
KANSL1L	0	0	0	0	0	0	1
TCTN3	0	0	0	0	0	0	1
PPME1	0	0	0	0	0	0	1
SKIV2L	0	0	1	0	0	0	0
PIK3R3	1	1	0	1	0	1	0
RP11-410	0	0	0	0	0	0	1
ATG9B	1	0	0	0	0	0	0
C8orf22	0	0	0	0	0	0	1
SLC52A1	0	0	0	0	0	0	1
ATP8B4	0	0	0	0	0	0	1
PGM1	0	0	0	0	1	0	0
PRKCD	1	0	0	1	0	1	0
DCUN1D1	0	0	0	0	0	0	1
PLEC	0	0	0	0	0	0	1
GBAS	0	0	0	0	0	0	1
TPRKB	0	0	0	0	0	0	1
KIF3A	0	1	0	0	0	0	0
IVD	0	0	0	0	1	0	0
TAF6	0	0	1	0	0	0	0
BCAM	0	0	0	0	0	0	1
TMEM69	0	0	0	0	0	0	1
KDM5A	0	0	0	0	0	0	1
PRODH	0	0	0	0	1	0	0
SLC51A	0	0	0	0	0	1	0
PAK2	1	1	0	1	0	1	0
FMO6P	0	0	0	0	0	0	1
SNCA	0	0	0	0	0	0	1
LIN52	1	0	0	0	0	0	0
NRBP1	0	0	0	0	0	0	1
TOMM40L	0	0	0	1	0	0	0
ACE	0	0	0	1	0	1	0
UBXN4	0	0	0	0	0	0	1
SAP130	0	0	0	0	0	0	1
AC005237.4	0	0	0	0	0	0	1
FAM217A	0	0	0	0	0	0	1
GADL1	0	0	0	0	1	0	0
IDE	0	0	0	0	0	0	1
RAB8B	1	0	0	0	0	0	0
SCAPER	0	0	0	0	0	0	1
RP11-137	0	0	0	0	0	0	1
MRPS34	0	0	0	0	0	0	1
GP1BA	0	1	0	0	0	1	0
FASN	0	1	0	0	1	1	0
AC063976.7	0	0	0	0	0	0	1
ALDH18A1	0	0	0	0	1	0	0
PDCD5	0	0	0	0	0	0	1
FGF14	0	0	0	0	0	0	1
NKD1	0	1	0	0	0	0	0
HELLS	0	0	0	0	0	0	1
SLC7A5	0	1	0	1	0	0	0
LRRC8A	0	0	0	0	0	0	1
ELL	0	0	0	0	0	0	1
PDILT	0	0	0	0	0	0	1
GEMIN8P2	0	0	0	0	0	0	1
FADS1	0	0	0	0	1	0	0
CYP4A11	0	0	0	0	1	1	0
FADS3	0	0	0	0	0	0	1
FADS2	0	0	0	0	1	1	0
CEP152	0	0	0	0	0	0	1
UGT1A1	0	0	0	1	1	0	0
PGPEP1	0	0	0	0	0	0	1
IGFALS	0	0	0	0	0	0	1
TBC1D12	0	0	0	0	0	0	1
HSP90AA1	1	1	1	1	0	1	0
GS1-259H	0	0	0	0	0	0	1
ZNF317	0	0	0	0	0	0	1
LRRC25	0	0	0	0	0	0	1
CLEC16A	0	0	0	0	0	0	1
ADAM10	0	0	0	1	0	0	0
NAT8	0	0	0	0	0	0	1
AC104809.3	0	0	0	0	0	0	1
UGT1A6	0	0	0	1	1	0	0
UGT1A7	0	0	0	1	1	0	0
OPLAH	0	0	0	0	1	0	0
CTD-3065	0	0	0	0	0	0	1
AVL9	0	0	0	0	0	0	1
KIAA1875	0	0	0	0	0	0	1
FAM149A	0	0	0	0	0	0	1
HAGH	0	0	0	0	1	0	0
DNASE2	1	0	0	0	0	0	0
LINC00243	0	0	0	0	0	0	1
DISP2	0	0	0	0	0	0	1
LDHA	0	1	0	1	1	1	0
RP11-598	0	0	0	0	0	0	1
TDO2	0	0	0	0	1	0	0
ISYNA1	0	0	0	0	1	0	0
HOOK2	0	0	0	0	0	0	1
GTF2H1	0	0	1	1	0	0	0
COMT	0	0	0	0	1	1	0
TMEM163	0	0	0	0	0	0	1
SSBP4	0	0	0	0	0	0	1
FOXN3	0	0	0	0	0	0	1
ACTN1	1	0	0	1	0	1	0
RANBP3L	0	0	0	0	0	0	1
RNF167	0	0	0	0	0	0	1
AC034220.3	0	0	0	0	0	0	1
RP4-536B	0	0	0	0	0	0	1
DXO	0	0	0	0	0	0	1
SCD	0	1	0	0	1	1	0
NFIX	0	0	0	0	0	0	1
SHARPIN	1	0	0	0	0	1	0
