Gene_Name	Drug_Name	Interaction_Type	Source	Gene_Categories
CD2	ALEFACEPT		TdgClinicalTrial	Cell surface,druggable genome,external side of plasma membrane
CD2	SIPLIZUMAB	inhibitor	ChemblInteractions	Cell surface,druggable genome,external side of plasma membrane
CD2	SIPLIZUMAB		TdgClinicalTrial	Cell surface,druggable genome,external side of plasma membrane
CD2	SIPLIZUMAB	antibody	TTD	Cell surface,druggable genome,external side of plasma membrane
CD2	SMS 201-995		NCI	Cell surface,druggable genome,external side of plasma membrane
CD2	ZNCL2		NCI	Cell surface,druggable genome,external side of plasma membrane
CD2	TUMOR NECROSIS FACTOR		NCI	Cell surface,druggable genome,external side of plasma membrane
PHGDH	NADH		DrugBank	
SLC1A4	L-Alanine		DrugBank	Cell surface,ion channel,transporter
ALMS1	GLYCINE	agonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	TAURINE	agonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	IVERMECTIN	agonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	β-ALANINE	agonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	ZN2+	allosteric modulator	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	ETHANOL	allosteric modulator	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	ATROPINE	antagonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	TROPISETRON	antagonist	GuideToPharmacologyInteractions	Tumor suppressor
ALMS1	PICROTOXININ	channel blocker	GuideToPharmacologyInteractions	Tumor suppressor
MCCC1	Biotin		DrugBank	
SNCA	BIIB054	inhibitor	ChemblInteractions	Drug resistance,druggable genome,histone modification,kinase,phospholipase,protease,protease inhibitor,serine threonine kinase,transporter
TDO2	HYDROGEN PEROXIDE		NCI	Druggable genome
TDO2	DEXAMETHASONE		NCI	Druggable genome
BHMT2	L-Methionine	product of	DrugBank	Druggable genome
BHMT2	BETAINE HYDROCHLORIDE		ChemblInteractions	Druggable genome
BHMT	L-Methionine	product of	DrugBank	Druggable genome
BHMT	Citric Acid		DrugBank	Druggable genome
BHMT	BETAINE HYDROCHLORIDE		ChemblInteractions	Druggable genome
P4HA2	L-Proline		DrugBank	
P4HA2	Succinic acid		DrugBank	
SLC22A4	L-Carnitine		DrugBank	Druggable genome,transporter
SLC22A5	L-Carnitine		DrugBank	Drug resistance,druggable genome,transporter
GRM1	A-850002	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	CFMTI	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 10I [PMID: 23084894]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 11S [PMID: 19433355]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 12E [PMID: 22266036]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 22 [PMID: 17276684]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 23E [PMID: 17929793]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 23I [PMID: 17929793]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 24 [PMID: 20346665]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 9A [PMID: 22266036]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	COMPOUND 9N [PMID: 23084894]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	CPCCOET	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	FTIDC	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	CIS-10 [PMID: 15771457]	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	JNJ16259685	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	LY456236	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	MK-5435	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	R214127	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	[11C]MMTP	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	[18F]FITM	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	YM298198	allosteric modulator	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	AIDA	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	(S)-4C3HPG	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	LY341495	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	LY367385	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	PF-1913539	antagonist	TTD	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	AZD-9272	modulator	TTD	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	L-Glutamic Acid		DrugBank	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	INOSITOL		NCI	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	DHPG		NCI	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	CAFFEINE		NCI	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
GRM1	MORPHINE		NCI	Druggable genome,g protein coupled receptor,kinase,serine threonine kinase
AOC1	Diminazene		DrugBank	Drug resistance,druggable genome
VIPR2	BAY 55-9837	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	PHV	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	PHI	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	VIP	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	SECRETIN	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	[125I]PACAP-27	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	MAXADILAN	agonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
VIPR2	N-STEARYL-[NLE17] NEUROTENSIN-(6-11)/VIP-(7-28)	antagonist	GuideToPharmacologyInteractions	Druggable genome,g protein coupled receptor
MGAM	Acarbose	inhibitor	DrugBank	Druggable genome
MGAM	ACARBOSE	inhibitor	TTD	Druggable genome
MGAM	ACARBOSE		TEND	Druggable genome
MGAM	ACARBOSE		TdgClinicalTrial	Druggable genome
MGAM	MIGLITOL	inhibitor	TTD	Druggable genome
MGAM	Miglitol	antagonist,inhibitor	DrugBank	Druggable genome
MGAM	MIGLITOL	inhibitor	GuideToPharmacologyInteractions	Druggable genome
MGAM	MIGLITOL		TEND	Druggable genome
MGAM	MIGLITOL		TdgClinicalTrial	Druggable genome
MGAM	Voglibose	inhibitor	DrugBank	Druggable genome
MGAM	VOGLIBOSE		TdgClinicalTrial	Druggable genome
MGAM	VOGLIBOSE	inhibitor	TTD	Druggable genome
MGAM	VOGLIBOSE		TEND	Druggable genome
ADRA1A	EPINEPHRINE BITARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	EPINEPHRINE BITARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	EPINEPHRINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	(+)-ADRENALINE	agonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	EPINEPHRINE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	EPINEPHRINE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	EPINEPHRINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	(-)-ADRENALINE	agonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ALSEROXYLON	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ALSEROXYLON	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TOLAZOLINE HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TOLAZOLINE HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	OXYMETAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	OXYMETAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENOXYBENZAMINE HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENOXYBENZAMINE HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METARAMINOL BITARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METARAMINOL BITARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL PHOSPHATE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL PHOSPHATE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	HYDROXYAMPHETAMINE HYDROBROMIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	HYDROXYAMPHETAMINE HYDROBROMIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Norepinephrine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NOREPINEPHRINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NOREPINEPHRINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Aripiprazole	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Amphetamine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	AMPHETAMINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Cabergoline	binder	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CABERGOLINE	antagonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Dapiprazole	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DAPIPRAZOLE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DAPIPRAZOLE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Olanzapine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	OLANZAPINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Clozapine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CLOZAPINE	antagonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Mirtazapine	binder	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Mirtazapine	binder	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Phenylpropanolamine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENYLPROPANOLAMINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENYLPROPANOLAMINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Loxapine	binder	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Promazine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PROMAZINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PROMAZINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Dipivefrin	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Droperidol	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Amoxapine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Amoxapine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Metaraminol	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METARAMINOL		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METARAMINOL		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Ergotamine	partial agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Nicergoline	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NICERGOLINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NICERGOLINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Methoxamine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METHOXAMINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METHOXAMINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METHOXAMINE	agonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Risperidone	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	RISPERIDONE	antagonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PROPIOMAZINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Propiomazine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PROPIOMAZINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Tolazoline	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TOLAZOLINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TOLAZOLINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Benzphetamine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Flupentixol	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Apraclonidine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOLOID MESYLATE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Ergoloid mesylate	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOLOID MESYLATES	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOLOID MESYLATES	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOLOID MESYLATE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Carvedilol	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	CARVEDILOL	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Ergonovine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Paliperidone	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Bevantolol	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Mephentermine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MEPHENTERMINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MEPHENTERMINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Methotrimeprazine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METHOTRIMEPRAZINE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	METHOTRIMEPRAZINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	4-Methoxyamphetamine	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Acepromazine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Thioproperazine	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Zuclopenthixol	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DRONEDARONE		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Dronedarone	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DRONEDARONE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ILOPERIDONE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Iloperidone	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Mianserin	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MIANSERIN	antagonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Silodosin	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	SILODOSIN		TEND	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	SILODOSIN	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	SILODOSIN		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	SILODOSIN	antagonist	GuideToPharmacologyInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Droxidopa	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DROXIDOPA	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	DROXIDOPA	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Xylometazoline	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Isometheptene	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Naphazoline	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Tetryzoline	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Cirazoline	agonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	Tiapride	antagonist	DrugBank	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	RAUWOLFIA SERPENTINA	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	RAUWOLFIA SERPENTINA	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	LABETALOL HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	LABETALOL HYDROCHLORIDE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MEPHENTERMINE SULFATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MEPHENTERMINE SULFATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NORADRENALINE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NORADRENALINE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TEDATIOXETINE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TEDATIOXETINE		TdgClinicalTrial	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOTAMINE TARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ERGOTAMINE TARTRATE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NAPHAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	NAPHAZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TETRAHYDROZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TETRAHYDROZOLINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	XATRAL	antagonist	TTD	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ALFUZOSIN HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	ALFUZOSIN HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MIDODRINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	MIDODRINE HYDROCHLORIDE	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENTOLAMINE MESYLATE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENTOLAMINE MESYLATE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	PHENYLPROPANOLAMINE POLISTIREX	agonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
ADRA1A	TRIMIPRAMINE MALEATE	antagonist	ChemblInteractions	Drug resistance,druggable genome,g protein coupled receptor,phospholipase
