Gene	Synonymns	Description
ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	actin gamma 1
ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	actin, gamma 2, smooth muscle, enteric
ACTG1P1	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	actin gamma 1 pseudogene 1
ACTG1P2	ACTGP2|ACTL2	actin gamma 1 pseudogene 2
ACTG1P3	ACTGP3|dJ545L17.4	actin gamma 1 pseudogene 3
ACTG1P6	ACTGP6	actin gamma 1 pseudogene 6
ACTG1P7	ACTGP7	actin gamma 1 pseudogene 7
ACTG1P8	ACTGP8	actin gamma 1 pseudogene 8
ACTN4	ACTININ-4|FSGS|FSGS1	actinin alpha 4
ACTG1P9	ACTGP9	actin gamma 1 pseudogene 9
ACTG1P10	ACTGP10|ACTL1|ACTP1	actin gamma 1 pseudogene 10
ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	actin like 6A
ACTN1	BDPLT15	actinin alpha 1
ACTN2	CMD1AA|CMH23	actinin alpha 2
ACTN3	ACTN3D	actinin alpha 3 (gene/pseudogene)
ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	activin A receptor type 1
ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor type 1B
ACVR2A	ACTRII|ACVR2	activin A receptor type 2A
ACVR2B	ACTRIIB|ActR-IIB|HTX4	activin A receptor type 2B
ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor like type 1
ACY1	ACY-1|ACY1D|HEL-S-5	aminoacylase 1
ACYP1	ACYPE	acylphosphatase 1
ACYP2	ACYM|ACYP	acylphosphatase 2
ADA	-	adenosine deaminase
ADAM8	CD156|CD156a|MS2	ADAM metallopeptidase domain 8
ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	ADAM metallopeptidase domain 10
ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	adenosine deaminase, RNA specific
ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase, RNA specific B1
ADARB2	ADAR3|RED2	adenosine deaminase, RNA specific B2 (inactive)
ADCP1	-	adenosine deaminase complexing protein 1
ADCY1	AC1|DFNB44	adenylate cyclase 1
ADCY2	AC2|HBAC2	adenylate cyclase 2
ADCY3	AC-III|AC3|BMIQ19	adenylate cyclase 3
ADCY5	AC5|FDFM	adenylate cyclase 5
ADCY6	AC6|LCCS8	adenylate cyclase 6
ADCY7	AC7	adenylate cyclase 7
ADCY8	AC8|ADCY3|HBAC1	adenylate cyclase 8
ADCY9	AC9|ACIX	adenylate cyclase 9
ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1
ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	ADCYAP receptor type I
ADD1	ADDA	adducin 1
ADD2	ADDB	adducin 2
ADD3	ADDL|CPSQ3	adducin 3
ADFN	ALDS	albinism-deafness syndrome
PLIN2	ADFP|ADRP	perilipin 2
ADH1A	ADH1	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	ADH2|HEL-S-117	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	ADH3	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	ADH-2|HEL-S-4	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH6	ADH-5	alcohol dehydrogenase 6 (class V)
ADH7	ADH4	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADK	AK	adenosine kinase
ADM	AM|PAMP	adrenomedullin
ADORA1	RDC7	adenosine A1 receptor
ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor
ADORA2B	ADORA2	adenosine A2b receptor
ADORA2BP1	ADORA2BP	adenosine A2b receptor pseudogene 1
ADORA3	A3AR	adenosine A3 receptor
ADPRH	ARH1	ADP-ribosylarginine hydrolase
PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	poly(ADP-ribose) polymerase 1
PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	poly(ADP-ribose) polymerase family member 4
PARP1P1	ADPRTP1|PPOLP1	poly(ADP-ribose) polymerase 1 pseudogene 1
PARP1P2	ADPRTP2|PPOLP2	poly(ADP-ribose) polymerase 1 pseudogene 2
ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	adrenoceptor alpha 1D
ADRA1B	ADRA1|ALPHA1BAR	adrenoceptor alpha 1B
ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	adrenoceptor alpha 1A
ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A
ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	adrenoceptor alpha 2B
ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	adrenoceptor alpha 2C
ADRB1	ADRB1R|B1AR|BETA1AR|RHR	adrenoceptor beta 1
ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	adrenoceptor beta 2
ADRB3	BETA3AR	adrenoceptor beta 3
GRK2	ADRBK1|BARK1|BETA-ARK1	G protein-coupled receptor kinase 2
GRK3	ADRBK2|BARK2	G protein-coupled receptor kinase 3
ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase
ADSS	ADEH|ADSS 2	adenylosuccinate synthase
AP2A1	ADTAA|AP2-ALPHA|CLAPA1	adaptor related protein complex 2 subunit alpha 1
AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	adaptor related protein complex 2 subunit alpha 2
AP1B1	ADTB1|AP105A|BAM22|CLAPB2	adaptor related protein complex 1 subunit beta 1
AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	adaptor related protein complex 2 subunit beta 1
AP1G1	ADTG|CLAPG1	adaptor related protein complex 1 subunit gamma 1
AEBP1	ACLP	AE binding protein 1
AES	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	amino-terminal enhancer of split
CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	cysteine rich secretory protein 1
AF8T	-	AF8 temperature sensitivity complementing
AFA	-	ankyloblepharon filiforme adnatum
AFD1	AFDN	acrofacial dysostosis 1, Nager type
AFG3L1P	AFG3|AFG3L1	AFG3 like matrix AAA peptidase subunit 1, pseudogene
AFM	ALB2|ALBA|ALF	afamin
AFP	AFPD|FETA|HPAFP	alpha fetoprotein
AGA	AGU|ASRG|GA	aspartylglucosaminidase
ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	aggrecan
AGER	RAGE|SCARJ1	advanced glycosylation end-product specific receptor
AGL	GDE	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
AGMX2	IMD6|XLA2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)
AGRP	AGRT|ART|ASIP2	agouti related neuropeptide
JAG1	AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1	jagged 1
AGT	ANHU|SERPINA8|hFLT1	angiotensinogen
AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	angiotensin II receptor type 1
AGTR2	AT2|ATGR2|MRX88	angiotensin II receptor type 2
APLNR	AGTRL1|APJ|APJR|HG11	apelin receptor
AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	alanine--glyoxylate and serine--pyruvate aminotransferase
NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	nuclear receptor subfamily 0 group B member 1
AHCY	SAHH|adoHcyase	adenosylhomocysteinase
AIC	-	Aicardi syndrome
AHR	bHLHe76	aryl hydrocarbon receptor
AHSG	A2HS|AHS|APMR1|FETUA|HSGA	alpha 2-HS glycoprotein
AIF1	AIF-1|IBA1|IRT-1|IRT1	allograft inflammatory factor 1
AIH3	-	amelogenesis imperfecta 3, hypomaturation or hypoplastic type
CRYBG1	AIM1|ST4	crystallin beta-gamma domain containing 1
AK1	HTL-S-58j	adenylate kinase 1
AK2	ADK2	adenylate kinase 2
AK4	AK 4|AK3|AK3L1|AK3L2	adenylate kinase 4
AK4P1	AK3P1	adenylate kinase 4 pseudogene 1
AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	AKT serine/threonine kinase 1
AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	AKT serine/threonine kinase 2
ALAD	ALADH|PBGS	aminolevulinate dehydratase
ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	5'-aminolevulinate synthase 1
ALAS2	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	5'-aminolevulinate synthase 2
ALB	HSA|PRO0883|PRO0903|PRO1341	albumin
ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule
ABCD1	ABC42|ALD|ALDP|AMN	ATP binding cassette subfamily D member 1
ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1
ALDH2	ALDH-E2|ALDHI|ALDM	aldehyde dehydrogenase 2 family member
ALDH3A1	ALDH3|ALDHIII	aldehyde dehydrogenase 3 family member A1
ALDH1B1	ALDH5|ALDHX	aldehyde dehydrogenase 1 family member B1
ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	aldehyde dehydrogenase 1 family member A3
ALDH3B1	ALDH4|ALDH7	aldehyde dehydrogenase 3 family member B1
ALDH3B2	ALDH8	aldehyde dehydrogenase 3 family member B2
ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABADH	aldehyde dehydrogenase 9 family member A1
ALDH3A2	ALDH10|FALDH|SLS	aldehyde dehydrogenase 3 family member A2
ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	ATP binding cassette subfamily D member 2
ALDOA	ALDA|GSD12|HEL-S-87p	aldolase, fructose-bisphosphate A
ALDOAP2	-	aldolase, fructose-bisphosphate A pseudogene 2
ALDOB	ALDB|ALDO2	aldolase, fructose-bisphosphate B
ALDOC	ALDC	aldolase, fructose-bisphosphate C
AKR1B1	ADR|ALDR1|ALR2|AR	aldo-keto reductase family 1 member B
AKR1B1P2	ALDRP	aldo-keto reductase family 1 member B1 pseudogene 2
ALK	CD246|NBLST3	ALK receptor tyrosine kinase
ALOX12	12-LOX|12S-LOX|LOG12	arachidonate 12-lipoxygenase, 12S type
ALOX5	5-LO|5-LOX|5LPG|LOG5	arachidonate 5-lipoxygenase
ALOX5AP	FLAP	arachidonate 5-lipoxygenase activating protein
ALOX12B	12R-LOX|ARCI2	arachidonate 12-lipoxygenase, 12R type
ALOX12P1	ALOX12P	arachidonate 12-lipoxygenase pseudogene 1
ALOX12P2	ALOX12E	arachidonate 12-lipoxygenase pseudogene 2
ALOX15	12-LOX|15-LOX|15-LOX-1|LOG15	arachidonate 15-lipoxygenase
ALOX15B	15-LOX-2	arachidonate 15-lipoxygenase, type B
ALPI	IAP	alkaline phosphatase, intestinal
ALPL	AP-TNAP|APTNAP|HOPS|TNALP|TNAP|TNSALP	alkaline phosphatase, biomineralization associated
ALPP	ALP|ALPI|IAP|PALP|PLAP|PLAP-1	alkaline phosphatase, placental
ALPG	ALPPL|ALPPL2|GCAP	alkaline phosphatase, germ cell
ALS3	ALS6	amyotrophic lateral sclerosis 3 (autosomal dominant)
ALS5	-	amyotrophic lateral sclerosis 5
ALX3	FND|FND1	ALX homeobox 3
AMBN	AI1F	ameloblastin
AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	alpha-1-microglobulin/bikunin precursor
AMCN	AMC|AMC1|AMCN1	arthrogryposis multiplex congenita, neurogenic
AMD1	ADOMETDC|AMD|SAMDC	adenosylmethionine decarboxylase 1
AMD1P2	AMD|AMD2|AMDP1|AMDPX|AMDPY	adenosylmethionine decarboxylase 1 pseudogene 2
AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	amelogenin X-linked
AMELY	AMGL|AMGY	amelogenin Y-linked
AMFR	GP78|RNF45	autocrine motility factor receptor
AMH	MIF|MIS	anti-Mullerian hormone
AMHR2	AMHR|MISR2|MISRII|MRII	anti-Mullerian hormone receptor type 2
AMPD1	MAD|MADA|MMDD	adenosine monophosphate deaminase 1
AMPD2	PCH9|SPG63	adenosine monophosphate deaminase 2
AMPD3	-	adenosine monophosphate deaminase 3
AMPH	AMPH1	amphiphysin
BIN1	AMPH2|AMPHL|CNM2|SH3P9	bridging integrator 1
AMT	GCE|GCST|GCVT|NKH	aminomethyltransferase
AMY1A	AMY1	amylase, alpha 1A (salivary)
AMY1B	AMY1	amylase, alpha 1B (salivary)
AMY1C	AMY1	amylase, alpha 1C (salivary)
AMY2A	AMY2|PA	amylase, alpha 2A (pancreatic)
AMY2B	AMY2|AMY3|HXA	amylase, alpha 2B (pancreatic)
AMYP1	AMY2P	amylase, alpha pseudogene 1
ANCR	-	Angelman syndrome chromosome region
ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	angiogenin
ANGPT1	AGP1|AGPT|ANG1	angiopoietin 1
ANGPT2	AGPT2|ANG2	angiopoietin 2
ANK1	ANK|SPH1|SPH2	ankyrin 1
ANK2	ANK-2|LQT4|brank-2	ankyrin 2
ANK3	ANKYRIN-G|MRT37	ankyrin 3
ANOP1	MCOPS4	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)
ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	alanyl aminopeptidase, membrane
SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	solute carrier family 25 member 4
SLC25A5	2F1|AAC2|ANT2|T2|T3	solute carrier family 25 member 5
SLC25A6	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	solute carrier family 25 member 6
ANXA1	ANX1|LPC1	annexin A1
ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2
ANXA2P1	ANX2L1|ANX2P1|LPC2A	annexin A2 pseudogene 1
ANXA2P2	ANX2L2|ANX2P2|LPC2B	annexin A2 pseudogene 2
ANXA2P3	ANX2L3|ANX2P3|LIP2|LPC2C	annexin A2 pseudogene 3
ANXA3	ANX3	annexin A3
ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	annexin A4
ANXA5	ANX5|ENX2|HEL-S-7|PP4|RPRGL3	annexin A5
ANXA6	ANX6|CBP68|CPB-II|p68|p70	annexin A6
ANXA7	ANX7|SNX|SYNEXIN	annexin A7
ANXA11	ALS23|ANX11|CAP-50|CAP50	annexin A11
ANXA13	ANX13|ISA	annexin A13
AOAH	-	acyloxyacyl hydrolase
AOC2	DAO2|RAO|SSAO	amine oxidase, copper containing 2
AOX1	AO|AOH1	aldehyde oxidase 1
APAF1	APAF-1|CED4	apoptotic peptidase activating factor 1
NUDT2	APAH1	nudix hydrolase 2
APOF	Apo-F|LTIP	apolipoprotein F
APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	amyloid beta precursor protein binding family A member 1
APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta precursor protein binding family A member 2
APBB1	FE65|MGC:9072|RIR	amyloid beta precursor protein binding family B member 1
APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2
APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	APC, WNT signaling pathway regulator
APCS	HEL-S-92n|PTX2|SAP	amyloid P component, serum
AIRE	AIRE1|APECED|APS1|APSI|PGA1	autoimmune regulator
APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase
APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	apurinic/apyrimidinic endodeoxyribonuclease 1
BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	baculoviral IAP repeat containing 2
BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2	baculoviral IAP repeat containing 3
XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	X-linked inhibitor of apoptosis
BIRC5	API4|EPR-1	baculoviral IAP repeat containing 5
APLP1	APLP	amyloid beta precursor like protein 1
APLP2	APLP-2|APPH|APPL2|CDEBP	amyloid beta precursor like protein 2
APOA1	apo(a)	apolipoprotein A1
APOA2	Apo-AII|ApoA-II|apoAII	apolipoprotein A2
APOA4	-	apolipoprotein A4
APOB	FLDB|LDLCQ4|apoB-100|apoB-48	apolipoprotein B
APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR	apolipoprotein B mRNA editing enzyme catalytic subunit 1
APOC1	Apo-CI|ApoC-I|apo-CIB|apoC-IB	apolipoprotein C1
APOC1P1	-	apolipoprotein C1 pseudogene 1
AQP8	AQP-8	aquaporin 8
APOC2	APO-CII|APOC-II	apolipoprotein C2
APOC3	APOCIII	apolipoprotein C3
APOC4	APO-CIV|APOC-IV	apolipoprotein C4
APOD	-	apolipoprotein D
APOE	AD2|APO-E|ApoE4|LDLCQ5|LPG	apolipoprotein E
APOH	B2G1|B2GP1|BG	apolipoprotein H
APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4	amyloid beta precursor protein
APRT	AMP|APRTD	adenine phosphoribosyltransferase
KLK3	APS|KLK2A1|PSA|hK3	kallikrein related peptidase 3
FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Fas cell surface death receptor
FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	Fas ligand
SHROOM2	APXL|HSAPXL	shroom family member 2
AQP1	AQP-CHIP|CHIP28|CO	aquaporin 1 (Colton blood group)
AQP2	AQP-CD|WCH-CD	aquaporin 2
AQP3	AQP-3|GIL	aquaporin 3 (Gill blood group)
AQP4	MIWC|WCH4	aquaporin 4
AQP5	AQP-5|PPKB	aquaporin 5
AQP6	AQP2L|KID	aquaporin 6
AQP7	AQP7L|AQPap|GLYCQTL	aquaporin 7
AQP9	AQP-9|HsT17287|SSC1|T17287	aquaporin 9
AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor
ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP binding cassette subfamily C member 6
ARAF	A-RAF|ARAF1|PKS2|RAFA1	A-Raf proto-oncogene, serine/threonine kinase
ARCN1	COPD|SRMMD	archain 1
TRIM23	ARD1|ARFD1|RNF46	tripartite motif containing 23
AREG	AR|AREGB|CRDGF|SDGF	amphiregulin
ARF1	PVNH8	ADP ribosylation factor 1
ARF3	-	ADP ribosylation factor 3
ARF4	ARF2	ADP ribosylation factor 4
ARL4D	ARF4L|ARL6	ADP ribosylation factor like GTPase 4D
ARF4P1	ARF4P	ADP ribosylation factor 4 pseudogene 1
ARF5	-	ADP ribosylation factor 5
ARF6	-	ADP ribosylation factor 6
ARG1	-	arginase 1
ARG2	-	arginase 2
RHOA	ARH12|ARHA|RHO12|RHOH12	ras homolog family member A
RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog family member B
RHOC	ARH9|ARHC|H9|RHOH9	ras homolog family member C
RND3	ARHE|Rho8|RhoE|memB	Rho family GTPase 3
RHOG	ARHG	ras homolog family member G
ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	Rho GTPase activating protein 1
ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	Rho GTPase activating protein 4
ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	Rho GTPase activating protein 5
ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6
ARHGDIA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	Rho GDP dissociation inhibitor alpha
ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	Rho GDP dissociation inhibitor beta
ARHGDIG	RHOGDI-3	Rho GDP dissociation inhibitor gamma
RHOH	ARHH|TTF	ras homolog family member H
ARL1	ARFL1	ADP ribosylation factor like GTPase 1
PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	paired like homeobox 2A
ARL2	ARFL2	ADP ribosylation factor like GTPase 2
ARL3	ARFL3|JBTS35|RP83	ADP ribosylation factor like GTPase 3
ARNT	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	aryl hydrocarbon receptor nuclear translocator
ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator like
ARR3	ARRX|MYP26|cArr	arrestin 3
ARRB1	ARB1|ARR1	arrestin beta 1
ARRB2	ARB2|ARR2|BARR2	arrestin beta 2
ARSA	ASA|MLD	arylsulfatase A
ARSB	ASB|G4S|MPS6	arylsulfatase B
STS	ARSC|ARSC1|ASC|ES|SSDD|XLI	steroid sulfatase
ARSC2	ARSC	arylsulfatase C, isozyme F
ARSD	ASD	arylsulfatase D
ARSE	ASE|CDPX|CDPX1|CDPXR	arylsulfatase E
ARSF	ASF	arylsulfatase F
ART1	ART2|ARTC1|CD296|RT6	ADP-ribosyltransferase 1
ART2P	ART1P|RT6	ADP-ribosyltransferase 2, pseudogene
ART3	ARTC3	ADP-ribosyltransferase 3
ART4	ARTC4|CD297|DO|DO/ART4|DOK1	ADP-ribosyltransferase 4 (Dombrock blood group)
ARVCF	-	ARVCF, delta catenin family member
ARVD3	ARVD2	arrhythmogenic right ventricular dysplasia 3
ARVD4	-	arrhythmogenic right ventricular dysplasia 4
ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	N-acylsphingosine amidohydrolase 1
ASCL1	ASH1|HASH1|MASH1|bHLHa46	achaete-scute family bHLH transcription factor 1
ASCL2	ASH2|HASH2|MASH2|bHLHa45	achaete-scute family bHLH transcription factor 2
ASD1	-	atrial septal defect 1
ASGR1	ASGPR|ASGPR1|CLEC4H1|HL-1	asialoglycoprotein receptor 1
ASGR2	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	asialoglycoprotein receptor 2
ASIP	AGSW|AGTI|AGTIL|ASP|SHEP9	agouti signaling protein
ASL	ASAL	argininosuccinate lyase
ASLP1	ASLL	argininosuccinate lyase pseudogene 1
ASMT	ASMTY|HIOMT|HIOMTY	acetylserotonin O-methyltransferase
ASNA1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)
ASNS	ASNSD|TS11	asparagine synthetase (glutamine-hydrolyzing)
